"Table 6b. Completed primary immunisations in children aged 5 years in England by upper tier local authority (UTLA), number",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 5 years,Number aged 5 years vaccinated DTaP/IPV/Hib/HepB Prim vaccinated,Number aged 5 years vaccinated MMR1,Number aged 5 years vaccinated DTaP/IPV booster,Number aged 5 years vaccinated Hib/MenC booster,Number aged 5 years vaccinated MMR2
E08000027,Dudley,West Midlands,408,[z],3794,3591,3574,3310,3538,3358
E08000028,Sandwell,West Midlands,409,[z],4679,4275,4234,3600,4152,3706
E08000029,Solihull,West Midlands,410,[z],2616,2469,2427,2199,2383,2240
E08000030,Walsall,West Midlands,411,[z],4027,3743,3703,3293,3654,3371
E08000031,Wolverhampton,West Midlands,412,[z],3686,3372,3308,2903,3259,2954
E10000028,Staffordshire,West Midlands,413,[z],9377,9016,8922,8200,8860,8273
E06000021,Stoke-on-Trent,West Midlands,414,[z],3581,3372,3342,2990,3298,3047
E06000019,Herefordshire,West Midlands,415,[z],1782,1697,1694,1589,1675,1616
E10000034,Worcestershire,West Midlands,416,[z],6082,5828,5811,5425,5743,5496
E06000051,Shropshire,West Midlands,417,[z],2977,2871,2861,2657,2843,2689
E06000020,Telford and Wrekin,West Midlands,418,[z],2339,2232,2204,2022,2187,2055
E12000003,[z],Yorkshire and The Humber,[z],[z],62799,58848,58285,53021,55875,53838
E08000016,Barnsley,Yorkshire and The Humber,204,[z],2984,2902,2881,2770,2787,2787
E08000017,Doncaster,Yorkshire and The Humber,205,[z],3846,3593,3539,3125,3354,3180
E08000018,Rotherham,Yorkshire and The Humber,206,[z],2956,2804,2825,2624,2691,2665
E08000019,Sheffield,Yorkshire and The Humber,207,[z],6390,6036,5959,5343,5494,5504
E08000032,Bradford,Yorkshire and The Humber,209,[z],7587,7038,6901,6091,6833,6186
E08000033,Calderdale,Yorkshire and The Humber,210,[z],2344,2190,2193,1985,2097,2019
E08000034,Kirklees,Yorkshire and The Humber,211,[z],5086,4793,4764,4434,4543,4497
E08000035,Leeds,Yorkshire and The Humber,212,[z],9781,8901,8742,7633,8218,7779
E08000036,Wakefield,Yorkshire and The Humber,213,[z],4443,4191,4188,3898,4046,3943
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,214,[z],2991,2919,2892,2803,2872,2804
E06000010,Kingston upon Hull,Yorkshire and The Humber,215,[z],3411,3133,3070,2847,3036,2857
E06000012,North East Lincolnshire,Yorkshire and The Humber,216,[z],1842,1774,1767,1631,1690,1664
E06000013,North Lincolnshire,Yorkshire and The Humber,217,[z],1846,1665,1652,1526,1593,1543
E06000065,North Yorkshire,Yorkshire and The Humber,218,[z],5399,5130,5124,4688,4938,4750
E06000014,York,Yorkshire and The Humber,219,[z],1893,1779,1788,1623,1683,1660
